,Run Failed/Stopped Early,BLEU,SARI,FKGL,loss,nll_loss,warmup_updates,parametrization_budget,beam,dropout,fp16,label_smoothing,lr,lr_scheduler,max_epoch,max_tokens,optimizer,LengthRatio,Levenshtein,WordRank,DepTreeDepth,Rec. LengthRatio,Rec. Levenshtein,Rec. WordRank,Rec. DepTreeDepth
33,TRUE,42.5,31.6,3.46,12.268,12.165,4000,256,4,0.7226447037,FALSE,0.06626125509,4.43E-05,fixed,100,5000,adam,0.3710678607,0.8296591524,0.3896034956,0.3828891249,,,,
79,TRUE,51.41,31.41,4.87,12.838,12.013,4000,256,10,0.7089954524,FALSE,0.4804017568,6.60E-05,fixed,100,5000,adam,0.2998822673,0.9256859163,0.9260461325,0.2116953532,,,,
94,TRUE,29.53,31.08,4.6,11.849,7.616,4000,256,7,0.2005671615,FALSE,0.665153396,0.0002918931671,fixed,100,5000,adam,0.7178095443,0.4940910559,0.6560111977,0.39726398,,,,
104,TRUE,26.79,31.05,4.84,11.441,10.697,4000,256,5,0.6919414012,FALSE,0.238048041,0.0008488248277,fixed,100,5000,adam,0.7414366292,0.4438552098,0.2474776803,0.9736800175,,,,
85,TRUE,40.71,30.61,3.79,13.593,13.367,4000,256,10,0.9306868302,FALSE,0.7873807769,6.73E-06,fixed,100,5000,adam,0.3195679962,0.7890380238,0.1303168575,0.5272594818,,,,
107,TRUE,35.01,30.43,3.81,13.681,13.676,4000,256,4,0.9806812042,FALSE,0.09225976625,1.62E-05,fixed,100,5000,adam,0.4577872593,0.4693301012,0.03921802331,0.8939420577,,,,
19,TRUE,35.39,29.88,2.8,11.367,8.066,4000,256,2,0.1572406813,FALSE,0.5395760216,3.30E-05,fixed,100,5000,adam,0.2546279337,0.919362533,0.5972996361,0.949582461,,,,
114,TRUE,34.63,29.6,3.34,8.218,8.129,4000,256,8,0.3621743628,FALSE,0.01463303194,0.0008563873971,fixed,100,5000,adam,0.2758325982,0.7482805719,0.9058244036,0.502682136,,,,
126,TRUE,34.63,29.6,3.34,8.218,8.129,4000,256,8,0.3621743628,FALSE,0.01463303194,0.0008563873971,fixed,100,5000,adam,0.2758325982,0.7482805719,0.9058244036,0.502682136,,,,
10,TRUE,24.26,29.21,4.83,13.1,13.004,4000,256,5,0.8358031485,FALSE,0.1494300578,4.38E-06,fixed,100,5000,adam,0.6788631529,0.4327906229,0.3155550116,0.8926239797,,,,
128,TRUE,30.14,28.08,3.54,10.471,7.745,4000,64,4,0.3002504771,FALSE,0.4283875656,0.0006610554713,fixed,100,5000,adam,0.2021452144,0.990076077,0.6715105598,0.5015221907,,,,
52,TRUE,26.3,28.07,2.59,13.559,13.451,4000,256,4,0.9478487922,FALSE,0.4991283643,0.0001788442532,fixed,100,5000,adam,0.2729317801,0.6257901589,0.7967047199,0.9824563497,,,,
3,TRUE,28.75,27.97,3.11,13.565,12.877,4000,256,3,0.8182023411,FALSE,0.8867129305,4.04E-05,fixed,100,5000,adam,0.1900361069,0.8799842772,0.1568898122,0.7450438212,,,,
57,TRUE,22.66,27.28,2.19,9.31,7.979,4000,256,10,0.0006961395032,FALSE,0.2097975432,5.68E-05,fixed,100,5000,adam,0.2621365396,0.4525072723,0.8120764794,0.3109140151,,,,
103,TRUE,21.18,26.72,2.58,10.17,8.317,4000,256,2,0.2593353215,FALSE,0.3181451077,8.10E-05,fixed,100,5000,adam,0.3170900658,0.3813990484,0.9731874012,0.5098640143,,,,
