,Stopped early?,BLEU,SARI,FKGL,loss,nll_loss,warmup_updates,parametrization_budget,beam,dropout,fp16,label_smoothing,lr,lr_scheduler,max_epoch,max_tokens,optimizer,LengthRatio,Levenshtein,WordRank,DepTreeDepth
89,,40.28,31.69,3.22,13.563,13.434,4000,256,5,0.94737203,FALSE,0.55595266,0.0000892,fixed,100,5000,adam,0.45669325,0.62108613,0.49623694,0.58674505
90,,27.75,28.7,2.81,11.677,11.587,4000,256,3,0.78136546,FALSE,0.04216467,0.00099334,fixed,100,5000,adam,0.39868738,0.49893018,0.66502523,0.14369291
91,,4.9,21.07,2.64,12.714,6.656,4000,256,4,0.13249436,FALSE,0.88812296,0.00867482,fixed,100,5000,adam,0.17038289,0.56711976,0.15626862,0.10089788
92,,2.08,20.04,0,11.644,8.493,4000,256,7,0.01221699,FALSE,0.54531234,0.0000587,fixed,100,5000,adam,0.84240458,0.16609166,0.44977098,0.01121564
93,,28.44,28.82,2.47,7.54,6.353,4000,256,4,0.42888492,FALSE,0.13995321,0.0050597,fixed,100,5000,adam,0.32735444,0.50548324,0.48183988,0.78515141
94,,0.01,16.65,5.38,1.488,0.31,4000,256,6,0.42013247,FALSE,0.06671906,0.64614524,fixed,100,5000,adam,0.60120153,0.12109188,0.1868962,0.26484255
95,,19.78,26.4,1.53,11.219,9.618,4000,256,5,0.45046914,FALSE,0.36595102,0.0000576,fixed,100,5000,adam,0.26382662,0.43173501,0.77320536,0.22853332
96,,92.02,36.97,8.38,12.949,10.346,4000,256,3,0.6518244,FALSE,0.80570815,0.00029723,fixed,100,5000,adam,0.79404285,0.92762688,0.30340909,0.14080309
97,,17.26,28.57,5.52,10.064,7.854,4000,256,8,0.10873783,FALSE,0.34635971,0.00016883,fixed,100,5000,adam,0.83088276,0.40201658,0.23636013,0.56277707
98,,29.9,29.28,2.86,9.787,8.754,4000,256,5,0.40959293,FALSE,0.19517619,0.0000944,fixed,100,5000,adam,0.39764489,0.49156624,0.57002457,0.96074818
99,,1.05,19.7,0,13.798,13.797,4000,256,3,0.99497599,FALSE,0.69062727,0.00056013,fixed,100,5000,adam,0.82696263,0.14486353,0.14041884,0.82388268
100,,53.52,33.68,4.19,13.573,13.218,4000,256,10,0.89045883,FALSE,0.83349251,0.00000869,fixed,100,5000,adam,0.35468904,0.85759259,0.66461636,0.64786919
101,,51.71,33.34,4.3,12.959,8.708,4000,256,10,0.28798755,FALSE,0.86040439,0.00059056,fixed,100,5000,adam,0.37582723,0.87897385,0.47112575,0.07134481
102,,0.06,16.94,6.77,2.013,0.198,4000,256,4,0.05182363,FALSE,0.10986732,0.71180377,fixed,100,5000,adam,0.83069656,0.12886225,0.99039729,0.36069929
103,,0,16.19,8.4,8.564,7.973,4000,256,9,0.96619948,FALSE,0.06982306,0.64955151,fixed,100,5000,adam,0.29785367,0.56565438,0.09874995,0.68509313
104,,21.23,26.8,1.69,13.4,12.948,4000,256,7,0.82424145,FALSE,0.63794458,0.000007,fixed,100,5000,adam,0.27472636,0.70335296,0.51216349,0.87215413
105,,0.11,17.74,7,5.108,1.076,4000,256,5,0.66372123,FALSE,0.27924436,0.92979493,fixed,100,5000,adam,0.86016703,0.45877121,0.74606386,0.93722431
106,,29.12,31.21,6.37,10.593,7.045,4000,256,10,0.65657163,FALSE,0.49758766,0.03067013,fixed,100,5000,adam,0.77612509,0.80204489,0.32901343,0.93510588
107,,0.11,17,4.71,5.887,0.731,4000,256,5,0.16214279,FALSE,0.36510894,0.8181394,fixed,100,5000,adam,0.13083068,0.79828917,0.62415731,0.30631058
108,,7.95,22.85,1.28,10.922,8.288,4000,256,10,0.2298748,FALSE,0.44894362,0.0000456,fixed,100,5000,adam,0.13532296,0.59381143,0.74013276,0.14132614
109,,12.9,25.21,4.27,13.31,12.194,4000,256,2,0.94425155,FALSE,0.79952716,0.08098194,fixed,100,5000,adam,0.66491667,0.47742903,0.4070788,0.82047997
110,,0.2,18.29,3.71,4.947,2.084,4000,256,8,0.72950213,FALSE,0.20492504,0.59500067,fixed,100,5000,adam,0.58253574,0.67325041,0.31068905,0.37036779
